artist,attack,cardClass,collectible,cost,dbfId,flavor,health,id,name,playerClass,rarity,referencedTags/0,set,text,type,mechanics/0,howToEarnGolden,race,howToEarn,playRequirements/REQ_MINION_TARGET,playRequirements/REQ_TARGET_MIN_ATTACK,playRequirements/REQ_TARGET_TO_PLAY,mechanics/1,targetingArrowText,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MAX_ATTACK,elite,faction,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,playRequirements/REQ_TARGET_WITH_DEATHRATTLE,playRequirements/REQ_TARGET_WITH_RACE,durability,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,overload,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,entourage/7,entourage/8,entourage/9,spellDamage,classes/0,classes/1,classes/2,multiClassGroup,playRequirements/REQ_STEALTHED_TARGET,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_FROZEN_TARGET,referencedTags/1,collectionText,playRequirements/REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT,mechanics/2,mechanics/3,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,referencedTags/2
Chris Moeller,3,ROGUE,true,3,1117,"The agents of SI:7 are responsible for Stormwind's covert activities.  Their duties include espionage, assassination, and throwing surprise birthday parties for the royal family.",3,EX1_134,SI:7 Agent,ROGUE,RARE,,EXPERT1,<b>Combo:</b> Deal 2 damage.,MINION,COMBO,,,,,,,,Deal 2 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Lucas Graciano,,ROGUE,true,2,282,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",,EX1_126,Betrayal,ROGUE,COMMON,,EXPERT1,Force an enemy minion to deal its damage to the minions next to it.,SPELL,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Dixon,3,NEUTRAL,true,3,39839,The Murloc is taking the picture.,3,KAR_095,Zoobot,NEUTRAL,COMMON,,KARA,"<b>Battlecry:</b> Give a random friendly Beast, Dragon, and Murloc +1/+1.",MINION,BATTLECRY,"Crafting unlocked in the Menagerie, in One Night in Karazhan.",MECHANICAL,"Unlocked in the Menagerie, in One Night in Karazhan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Bozonnet,,MAGE,true,3,40409,Tastes like Baaaaananas.,,CFM_620,Potion of Polymorph,MAGE,RARE,,GANGS,"<b>Secret:</b> After your opponent plays a minion, transform it into a
1/1 Sheep.",SPELL,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Azevedo,,DRUID,true,1,41081,You can make your own Earthen Scales at home. Step 1: Roll around in the dirt. Step 2: Magic.,,UNG_108,Earthen Scales,DRUID,RARE,,UNGORO,"Give a friendly minion +1/+1, then gain Armor equal to its Attack.",SPELL,,,,,0,,0,,Give +1/+1.,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Ejsing & E. Amundsen,3,MAGE,true,3,40935,"When casting a tournament, you really have to put your soul into it!",4,CFM_660,Manic Soulcaster,MAGE,EPIC,,GANGS,<b>Battlecry:</b> Choose a friendly minion. Shuffle a copy into your deck.,MINION,BATTLECRY,,,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal Ivan,,PALADIN,true,2,756,We are all special unique snowflakes... with 1 Health.,,EX1_619,Equality,PALADIN,RARE,,EXPERT1,Change the Health of ALL minions to 1.,SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Cavotta,,WARRIOR,true,1,511,Easily worth 50 DKP.,,EX1_409,Upgrade!,WARRIOR,RARE,,EXPERT1,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Meyers & T. Washington,1,NEUTRAL,true,1,38532,Because EVERYDAY is the Day of the Tentacle of N'zoth.,1,OG_151,Tentacle of N'Zoth,NEUTRAL,COMMON,,OG,<b>Deathrattle:</b> Deal 1 damage to all minions.,MINION,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Zanchetin,3,SHAMAN,true,4,39190,"You can easily defeat her by either dealing 4 damage, or dropping a house on her.",4,KAR_021,Wicked Witchdoctor,SHAMAN,COMMON,,KARA,"Whenever you cast a spell, summon a random basic Totem.",MINION,,"Crafting unlocked in the Opera, in One Night in Karazhan.",,"Unlocked in the Opera, in One Night in Karazhan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wei Wang,4,SHAMAN,true,6,2618,"Calling the mist doesn't sound all that great.  ""Ooooh, it is slightly damp now!""",4,AT_054,The Mistcaller,SHAMAN,LEGENDARY,,TGT,<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.,MINION,BATTLECRY,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Allsop,,WARLOCK,true,3,914,It’s a Bolt.   It's made out of Shadow.   What more do you need to know!,,CS2_057,Shadow Bolt,WARLOCK,FREE,,CORE,"Deal $4 damage
to a minion.",SPELL,,Unlocked at Level 47.,,Unlocked at Level 1.,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Bozonnet,3,NEUTRAL,true,3,40389,"""Doc says the persistent burning sensation in my soul is probably just an ulcer.""",7,CFM_609,Fel Orc Soulfiend,NEUTRAL,EPIC,,GANGS,"At the start of your turn, deal 2 damage to this minion.",MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Staples,8,NEUTRAL,true,8,374,"Ragnaros was summoned by the Dark Iron dwarves, who were eventually enslaved by the Firelord.  Summoning Ragnaros often doesn’t work out the way you want it to.",8,EX1_298,Ragnaros the Firelord,NEUTRAL,LEGENDARY,,HOF,"Can't attack. At the end of your turn, deal 8 damage to a random enemy.",MINION,CANT_ATTACK,,ELEMENTAL,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daren Bader,,PALADIN,true,1,854,"This card makes something really damp.  Oh wait.  That's ""Humidity.""",,EX1_360,Humility,PALADIN,FREE,,CORE,Change a minion's Attack to 1.,SPELL,,Unlocked at Level 28.,,Unlocked at Level 6.,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladronn,2,NEUTRAL,true,4,622,"They're still embarrassed about ""The Deathwing Incident"".",5,CS2_131,Stormwind Knight,NEUTRAL,FREE,,CORE,<b>Charge</b>,MINION,CHARGE,Unlocked at Paladin Level 55.,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kaniuga,,MAGE,true,2,38407,What's cooler than being cool?,,OG_081,Shatter,MAGE,COMMON,FREEZE,OG,Destroy a <b>Frozen</b> minion.,SPELL,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Carl Critchlow,0,NEUTRAL,true,1,866,Have you seen the size of the shields in this game??  This is no easy job.,4,EX1_405,Shieldbearer,NEUTRAL,COMMON,,EXPERT1,<b>Taunt</b>,MINION,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Scott,2,NEUTRAL,true,3,2585,Meets monthly with the gladiators to discuss career goals.,5,AT_110,Coliseum Manager,NEUTRAL,RARE,,TGT,<b>Inspire:</b> Return this minion to your hand.,MINION,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltan Boros,1,NEUTRAL,true,5,2074,One bot's junk is another bot's AWESOME UPGRADE!,5,GVG_106,Junkbot,NEUTRAL,EPIC,,GVG,"Whenever a friendly Mech dies, gain +2/+2.",MINION,,,MECHANICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Nelson,2,NEUTRAL,true,4,41324,Level 40 Tortollan Paladins quest to tame a Stegodon.  There are no level 41 Tortollan Paladins.,6,UNG_810,Stegodon,NEUTRAL,COMMON,,UNGORO,<b>Taunt</b>,MINION,TAUNT,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Hou,4,HUNTER,true,7,2633,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",2,AT_063,Acidmaw,HUNTER,LEGENDARY,,TGT,"Whenever another minion takes damage, destroy it.",MINION,,,BEAST,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Ordonez,5,NEUTRAL,true,7,2522,"You can keep him, but you have to promise to feed him and clean out his tank every day!",9,AT_102,Captured Jormungar,NEUTRAL,COMMON,,TGT,,MINION,,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Horley Orlandelli,8,HUNTER,true,9,1144,The best defense against King Krush is to have someone you don’t like standing in front of you.,8,EX1_543,King Krush,HUNTER,LEGENDARY,,EXPERT1,<b>Charge</b>,MINION,CHARGE,,BEAST,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hideaki Takamura,1,NEUTRAL,true,2,12,"She’s trying to kick the habit, but still takes some mana whenever she has a stressful day.",3,EX1_055,Mana Addict,NEUTRAL,RARE,,EXPERT1,"Whenever you cast a spell, gain +2 Attack this turn.",MINION,,,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Alexander,6,NEUTRAL,true,7,753,"When Deathwing assaulted the capital, this soldier was the only member of his squad to survive. Now he's all bitter and stuff.",6,CS2_222,Stormwind Champion,NEUTRAL,FREE,,CORE,Your other minions have +1/+1.,MINION,AURA,Unlocked at Paladin Level 59.,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Horley Orlandelli,2,NEUTRAL,true,5,768,"No Pain, No Gain.",7,EX1_399,Gurubashi Berserker,NEUTRAL,FREE,,CORE,"Whenever this minion takes damage, gain +3 Attack.",MINION,,Unlocked at Warlock Level 57.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Liu,1,DRUID,true,1,38340,This Ancient was banned from the local tavern after tucking a 'Dr. Boom' up its sleeve.,1,OG_051,Forbidden Ancient,DRUID,EPIC,,OG,<b>Battlecry:</b> Spend all your Mana. Gain +1/+1 for each mana spent.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltan Boros,,PALADIN,true,1,41912,George and Karl were never heard from again.,,UNG_960,Lost in the Jungle,PALADIN,COMMON,,UNGORO,Summon two 1/1 Silver Hand Recruits.,SPELL,,,,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Zemskov,6,WARLOCK,true,7,2624,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",8,AT_020,Fearsome Doomguard,WARLOCK,COMMON,,TGT,,MINION,,,DEMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabe from Penny Arcade,,HUNTER,true,3,296,"""Kill!"", he commanded.",,EX1_539,Kill Command,HUNTER,FREE,,CORE,"Deal $3 damage. If you control a Beast, deal
$5 damage instead.",SPELL,,Unlocked at Level 49.,,Unlocked at Level 10.,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Hou,1,NEUTRAL,true,1,40549,He's the reason the First Bank of Gadgetzan has steel floors.,1,CFM_095,Weasel Tunneler,NEUTRAL,EPIC,,GANGS,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,MINION,DEATHRATTLE,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Horley Orlandelli,8,NEUTRAL,true,6,41415,It's gotten a bit long in the tooth.,2,UNG_812,Sabretooth Stalker,NEUTRAL,COMMON,,UNGORO,<b>Stealth</b>,MINION,STEALTH,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Nelson,2,HUNTER,true,2,1281,"Hyenas prefer the bones of kodos or windserpents, but they'll eat pretty much anything.  Even Brussels sprouts.",2,EX1_531,Scavenging Hyena,HUNTER,COMMON,,EXPERT1,"Whenever a friendly Beast dies, gain +2/+1.",MINION,,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooth,5,NEUTRAL,true,9,40955,"This flavor text was randomly generated.  If it happens to form words and make sense, that is purely by chance.",4,CFM_670,Mayor Noggenfogger,NEUTRAL,LEGENDARY,,GANGS,All targets are chosen randomly.,MINION,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vance Kovacs,,PALADIN,true,4,476,"Consecrated ground glows with Holy energy.  But it smells a little, too.",,CS2_093,Consecration,PALADIN,FREE,,CORE,Deal $2 damage to all enemies.,SPELL,,Unlocked at Level 43.,,Unlocked at Level 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Stapleton,1,WARLOCK,true,1,39740,"Malchezaar used to have an imp named Dobby working for him, but there was a tragic accident.",3,KAR_089,Malchezaar's Imp,WARLOCK,COMMON,,KARA,"Whenever you discard a card, draw a card.",MINION,,"Crafting unlocked in the Spire, in One Night in Karazhan.",DEMON,"Unlocked in the Spire, in One Night in Karazhan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Zanchetin,5,NEUTRAL,true,4,40889,Hook-tails are nice and all but she keeps getting stuck on things.,4,CFM_651,Naga Corsair,NEUTRAL,COMMON,,GANGS,<b>Battlecry:</b> Give your weapon +1 Attack.,MINION,BATTLECRY,,PIRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kaniuga,4,NEUTRAL,true,5,2511,Coming soon... to a tuskarr village near you!,4,AT_119,Kvaldir Raider,NEUTRAL,COMMON,,TGT,<b>Inspire:</b> Gain +2/+2.,MINION,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kaniuga,,DRUID,true,6,2009,Don't worry; we fired the person who named this card.,,GVG_041,Dark Wispers,DRUID,EPIC,TAUNT,GVG,<b>Choose One -</b> Summon 5 Wisps; or Give a minion +5/+5 and <b>Taunt</b>.,SPELL,CHOOSE_ONE,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler West Studios,,PRIEST,true,4,40375,Filled with electrolytes!,,CFM_604,Greater Healing Potion,PRIEST,RARE,,GANGS,Restore #12 Health to a friendly character.,SPELL,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Nielson,3,PALADIN,true,4,2655,Hee hee!  Look at his cute little feet.,4,AT_076,Murloc Knight,PALADIN,COMMON,,TGT,<b>Inspire:</b> Summon a random Murloc.,MINION,INSPIRE,,MURLOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vance Kovacs,3,SHAMAN,true,4,178,Is there anything worse than a Windspeaker with halitosis?,3,EX1_587,Windspeaker,SHAMAN,FREE,WINDFURY,CORE,<b>Battlecry:</b> Give a friendly minion <b>Windfury</b>.,MINION,BATTLECRY,Unlocked at Level 45.,,Unlocked at Level 8.,0,,,,Give <b>Windfury</b>.,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Cascioli,4,NEUTRAL,true,4,90,"He always dreamed of coming down from the mountains and opening a noodle shop, but he never got the nerve.",5,CS2_182,Chillwind Yeti,NEUTRAL,FREE,,CORE,,MINION,,Unlocked at Warrior Level 55.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sojin Hwang,4,WARLOCK,true,2,2623,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",3,AT_026,Wrathguard,WARLOCK,COMMON,,TGT,"Whenever this minion takes damage, also deal that amount to your hero.",MINION,,,DEMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daren Bader,6,PRIEST,true,6,1364,He also moonlights Thursday nights as a bouncer at the Pig and Whistle Tavern.,6,EX1_623,Temple Enforcer,PRIEST,COMMON,,EXPERT1,<b>Battlecry:</b> Give a friendly minion +3 Health.,MINION,BATTLECRY,,,,0,,,,Give +3 Health.,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terese Nielsen,1,PRIEST,true,1,1650,They help the downtrodden and distressed.  Also they sell cookies.,3,CS2_235,Northshire Cleric,PRIEST,FREE,,CORE,"Whenever a minion is healed, draw a card.",MINION,,Unlocked at Level 40.,,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.M. Gist,5,PALADIN,true,7,1068,Holy beings from the beyond are so cliché!,6,CS2_088,Guardian of Kings,PALADIN,FREE,,CORE,<b>Battlecry:</b> Restore 6 Health to your hero.,MINION,BATTLECRY,Unlocked at Level 47.,,Unlocked at Level 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milivoj Ceran,6,HUNTER,true,6,1261,"In the jungle, the mighty jungle, the lion gets slowly consumed by hyenas.",5,EX1_534,Savannah Highmane,HUNTER,RARE,,EXPERT1,<b>Deathrattle:</b> Summon two 2/2 Hyenas.,MINION,DEATHRATTLE,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaemin Kim,0,NEUTRAL,true,1,2278,Think of them as bullets for your dragon gun.,2,BRM_022,Dragon Egg,NEUTRAL,RARE,,BRM,"Whenever this minion takes damage, summon a 2/1 Whelp.",MINION,,"Crafting unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",,"Unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Zhang,3,HUNTER,true,2,2635,Elekk jousting is AWESOME.,2,AT_058,King's Elekk,HUNTER,COMMON,,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.",MINION,BATTLECRY,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Stapleton,1,PALADIN,true,2,40567,"If you bargain hard, he'll throw in the hat.",1,CFM_753,Grimestreet Outfitter,PALADIN,COMMON,,GANGS,<b>Battlecry:</b> Give all minions in your hand +1/+1.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantin Turovec,3,ROGUE,true,4,41213,You know you’re a Rogue when a sharp rock makes you go “Ooh!  Dagger!”,,UNG_061,Obsidian Shard,ROGUE,RARE,,UNGORO,"[x]Costs (1) less for each
card you've played from
another class.",WEAPON,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Brereton,1,HUNTER,true,1,1860,Spider cocoons are like little piñatas!,1,FP1_011,Webspinner,HUNTER,COMMON,,NAXX,<b>Deathrattle:</b> Add a random Beast card to your hand.,MINION,DEATHRATTLE,"Crafting unlocked in The Plague Quarter, in the Naxxramas adventure.",BEAST,"Unlocked in The Plague Quarter, in the Naxxramas adventure.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Brereton,2,NEUTRAL,true,1,724,"Pirates are into this new fad called ""Planking"".",1,CS2_146,Southsea Deckhand,NEUTRAL,COMMON,CHARGE,EXPERT1,Has <b>Charge</b> while you have a weapon equipped.,MINION,,,PIRATE,,,,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Nazzaro,,WARRIOR,true,3,38848,They have an uneasy rivalry with the Blood Paladins.,,OG_276,Blood Warriors,WARRIOR,EPIC,,OG,Add a copy of each damaged friendly minion to your hand.,SPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chanchai Luechaiwattanasopon,6,NEUTRAL,true,9,41242,"Still salty about it not being the ""Year of the Mastodon.""",10,UNG_071,Giant Mastodon,NEUTRAL,COMMON,,UNGORO,<b>Taunt</b>,MINION,TAUNT,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Uderzo,4,NEUTRAL,true,6,759,She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!,5,EX1_032,Sunwalker,NEUTRAL,RARE,,EXPERT1,"<b>Taunt</b>
<b>Divine Shield</b>",MINION,DIVINE_SHIELD,,,,,,,TAUNT,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Gallagher,2,NEUTRAL,true,2,2049,"""Shhh, I think I hear something.""
""Ah, it's probably nothing."" - Every Henchman",3,GVG_081,Gilblin Stalker,NEUTRAL,COMMON,,GVG,<b>Stealth</b>,MINION,STEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Nazzaro,,HUNTER,true,1,41368,"Question: What's scarier, one giant angry dinosaur or 15 smaller vicious ones? Answer: AHHHHHHH THEY FOUND MEEEEEE",,UNG_920,The Marsh Queen,HUNTER,LEGENDARY,,UNGORO,"[x]<b>Quest:</b> Play seven
1-Cost minions.
<b>Reward:</b> Queen Carnassa.",SPELL,QUEST,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anton Zemskov,3,NEUTRAL,true,4,39491,"He’s really just a Blacksmith, but he thought the fancy title would bring in more business.",2,KAR_710,Arcanosmith,NEUTRAL,COMMON,TAUNT,KARA,<b>Battlecry:</b> Summon a 0/5 minion with <b>Taunt</b>.,MINION,BATTLECRY,"Crafting unlocked in the Parlor, in One Night in Karazhan.",,"Unlocked in the Parlor, in One Night in Karazhan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoltan & Gabor,8,NEUTRAL,true,5,1982,So reaver. Much fel. Wow.,8,GVG_016,Fel Reaver,NEUTRAL,EPIC,,GVG,"Whenever your opponent plays a card, remove the top 3 cards of your deck.",MINION,,,MECHANICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Zhang,4,NEUTRAL,true,5,825,"They initially planned to be the Beryl or Cerulean drakes, but those felt a tad too pretentious.",4,EX1_284,Azure Drake,NEUTRAL,RARE,,HOF,<b>Spell Damage +1</b>. <b>Battlecry:</b> Draw a card.,MINION,BATTLECRY,,DRAGON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Gustav Schmidt,,SHAMAN,true,5,41159,Many young shaman summon a volcano as their first school project.,,UNG_025,Volcano,SHAMAN,RARE,,UNGORO,"Deal $15 damage randomly split among all minions.
<b>Overload:</b> (2)",SPELL,ImmuneToSpellpower,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Dixon,3,WARRIOR,true,3,38920,They're really just in it for the Blood Parrot.,4,OG_315,Bloodsail Cultist,WARRIOR,RARE,,OG,"<b>Battlecry:</b> If you control another Pirate, give your weapon +1/+1.",MINION,BATTLECRY,,PIRATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Ryman,6,WARRIOR,true,6,2723,A little better than Sea Minus Reaver.,7,AT_130,Sea Reaver,WARRIOR,EPIC,,TGT,"When you draw this, deal 1 damage to your minions.",MINION,TOPDECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Mascho,3,NEUTRAL,true,6,39465,He really enjoys lurking and gets a lot of job satisfaction out of it.,3,KAR_041,Moat Lurker,NEUTRAL,RARE,,KARA,<b>Battlecry:</b> Destroy a minion. <b>Deathrattle:</b> Resummon it.,MINION,BATTLECRY,"Crafting unlocked in the Opera, in One Night in Karazhan.",,"Unlocked in the Opera, in One Night in Karazhan.",0,,,DEATHRATTLE,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROGUE,true,,930,,30,HERO_03,Valeera Sanguinar,ROGUE,FREE,,CORE,,HERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dany Orizio,4,DRUID,true,5,40641,There is no carrot.,5,CFM_816,Virmen Sensei,DRUID,RARE,,GANGS,<b>Battlecry:</b> Give a friendly Beast +2/+2.,MINION,BATTLECRY,,,,0,,,,,,,,,,0,,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
